NIR;FWI;DataAlerta;NIRAnt;AAAnt;FWIAnt
33;5.558003352;22-02-2002;31;24.3845;6.082519715
63;4.164009536;23-02-2002;33;32.7295;5.558003352
68;4.46181988;24-02-2002;63;55.3456;4.164009536
25;4.170962209;25-02-2002;68;103.836;4.46181988
25;5.700117319;26-02-2002;25;18.0645;4.170962209
7;8.331826546;27-02-2002;25;21.5751;5.700117319
6;2.231484994;28-02-2002;7;0.783;8.331826546
4;0.023048865;02-03-2002;0;0;0
9;0.654723616;03-03-2002;4;0.66;0.023048865
3;0.373727704;04-03-2002;9;2.0857;0.654723616
2;0.333015811;05-03-2002;3;1.5001;0.373727704
32;1.009872743;06-03-2002;2;1;0.333015811
32;1.79442504;07-03-2002;32;16.04;1.009872743
34;1.787034073;08-03-2002;32;27.9132;1.79442504
36;2.396600784;09-03-2002;34;23.7945;1.787034073
30;1.951571617;10-03-2002;36;39.2691;2.396600784
4;1.342836177;11-03-2002;30;19.526;1.951571617
1;0.006278519;19-03-2002;0;0;0
6;0.256832766;20-03-2002;1;0.01;0.006278519
16;0.334659498;21-03-2002;6;0.136;0.256832766
41;2.914948015;22-03-2002;16;5.6061;0.334659498
70;4.667555113;23-03-2002;41;32.3601;2.914948015
59;4.867876576;24-03-2002;70;102.132;4.667555113
56;6.050743109;25-03-2002;59;41.677;4.867876576
118;10.74553122;26-03-2002;56;80.9062;6.050743109
121;12.17312811;27-03-2002;118;135.541;10.74553122
114;8.727769736;28-03-2002;121;150.177;12.17312811
89;7.79377788;29-03-2002;114;220.018;8.727769736
79;6.390377996;30-03-2002;89;54.3121;7.79377788
121;6.357096846;31-03-2002;79;132.841;6.390377996
90;7.511606488;01-04-2002;121;88.2449;6.357096846
34;6.276814705;02-04-2002;90;70.6855;7.511606488
1;0.502776817;03-04-2002;34;22.8821;6.276814705
8;0.747556957;04-04-2002;1;0.5;0.502776817
1;1.81E-06;06-04-2002;0;0;0
3;0.057004952;07-04-2002;1;0.001;1.81E-06
1;0.107021511;08-04-2002;3;0.021;0.057004952
2;0.251407409;09-04-2002;1;0.0001;0.107021511
4;0.282973049;10-04-2002;2;0.2;0.251407409
29;3.33954343;11-04-2002;4;0.5504;0.282973049
24;2.873622004;12-04-2002;29;10.581;3.33954343
50;3.820907765;13-04-2002;24;11.245;2.873622004
45;3.90993674;14-04-2002;50;27.78;3.820907765
37;4.542194529;15-04-2002;45;26.7991;3.90993674
43;4.251755435;16-04-2002;37;63.67;4.542194529
30;4.204895694;17-04-2002;43;33.794;4.251755435
31;1.473731986;18-04-2002;30;9.421;4.204895694
45;2.026218336;19-04-2002;31;22.591;1.473731986
118;4.352360084;20-04-2002;45;28.2391;2.026218336
107;8.035888578;21-04-2002;118;186.7914;4.352360084
85;11.26394981;22-04-2002;107;139.8622;8.035888578
124;13.57379114;23-04-2002;85;51.8391;11.26394981
145;11.79661138;24-04-2002;124;126.9565;13.57379114
111;12.515234;25-04-2002;145;238.1867;11.79661138
96;14.34071668;26-04-2002;111;83.8022;12.515234
94;11.21916433;27-04-2002;96;152.522;14.34071668
74;11.52402686;28-04-2002;94;97.6801;11.21916433
95;10.50676997;29-04-2002;74;71.3775;11.52402686
52;12.43269786;30-04-2002;95;71.0671;10.50676997
49;13.56902315;01-05-2002;52;46.8663;12.43269786
26;2.795844795;02-05-2002;49;83.3055;13.56902315
72;8.650810555;03-05-2002;26;14.4635;2.795844795
97;11.89104746;04-05-2002;72;29.2042;8.650810555
64;4.338261459;05-05-2002;97;46.9072;11.89104746
73;6.421449506;06-05-2002;64;36.4142;4.338261459
53;2.81618818;07-05-2002;73;58.983;6.421449506
24;3.944811475;08-05-2002;53;21.89;2.81618818
43;6.831223543;09-05-2002;24;11.062;3.944811475
46;7.294016211;10-05-2002;43;22.4795;6.831223543
73;5.425680727;11-05-2002;46;29.452;7.294016211
56;8.979857563;12-05-2002;73;58.7006;5.425680727
14;5.902098663;13-05-2002;56;37.9512;8.979857563
